model,source,pc1,pc2
finetune,posterior,5.922988414764404,-0.14925236999988556
finetune,posterior,-8.914069175720215,-0.22514642775058746
finetune,posterior,1.3551089763641357,-0.18401136994361877
finetune,posterior,5.0222487449646,-0.16250251233577728
finetune,posterior,-5.593504905700684,-0.20955118536949158
finetune,posterior,5.234653472900391,-0.17324544489383698
finetune,posterior,1.1734706163406372,-0.1638399213552475
finetune,posterior,8.78647518157959,-0.13584765791893005
finetune,posterior,-1.7504645586013794,-0.19311435520648956
finetune,posterior,-8.88297176361084,-0.22556377947330475
finetune,posterior,-13.61776351928711,-0.2458147555589676
finetune,posterior,3.0653886795043945,-0.15495704114437103
finetune,posterior,4.906764984130859,-0.16338083148002625
finetune,posterior,1.2478275299072266,-0.18256080150604248
finetune,posterior,4.977928638458252,-0.1684524565935135
finetune,posterior,-5.525018692016602,-0.20923295617103577
finetune,posterior,8.411412239074707,-0.14560088515281677
finetune,posterior,-5.833892822265625,-0.21063029766082764
finetune,posterior,3.2213492393493652,-0.15242312848567963
finetune,posterior,1.377421498298645,-0.18438191711902618
finetune,posterior,-2.7120003700256348,-0.19629821181297302
finetune,posterior,1.262978196144104,-0.18330974876880646
finetune,posterior,3.0592899322509766,-0.1517568975687027
finetune,posterior,4.999109745025635,-0.16635659337043762
finetune,posterior,5.211921691894531,-0.16370980441570282
finetune,posterior,-1.6551449298858643,-0.1922016590833664
finetune,posterior,-2.401864528656006,-0.19529381394386292
finetune,posterior,-8.662288665771484,-0.22449131309986115
finetune,posterior,9.308180809020996,-0.13894036412239075
finetune,posterior,1.4293739795684814,-0.18161089718341827
finetune,posterior,-13.435074806213379,-0.2451809197664261
finetune,posterior,5.0222487449646,-0.16250251233577728
finetune,posterior,0.5618305206298828,-0.16129837930202484
finetune,posterior,-2.4204931259155273,-0.18165470659732819
finetune,posterior,-2.233891487121582,-0.19424712657928467
finetune,posterior,0.16264209151268005,-0.1707352250814438
finetune,posterior,-0.4364858865737915,-0.18668577075004578
finetune,posterior,15.122308731079102,-0.13256917893886566
finetune,posterior,-9.300596237182617,-0.227415069937706
finetune,posterior,3.0149126052856445,-0.15506376326084137
finetune,posterior,-5.437418460845947,-0.20882371068000793
finetune,posterior,2.9660329818725586,-0.1564822643995285
finetune,posterior,2.9660329818725586,-0.1564822643995285
finetune,posterior,-5.7432050704956055,-0.21018292009830475
finetune,posterior,-2.3849363327026367,-0.1949092298746109
finetune,posterior,6.166987419128418,-0.1529906839132309
finetune,posterior,5.870230674743652,-0.14745177328586578
finetune,posterior,-2.4135847091674805,-0.19520223140716553
finetune,posterior,-5.5962300300598145,-0.2095651626586914
finetune,posterior,8.28701400756836,-0.1384633332490921
finetune,posterior,1.2919363975524902,-0.16403768956661224
finetune,posterior,3.178277015686035,-0.15434931218624115
finetune,posterior,8.262475967407227,-0.14005650579929352
finetune,posterior,-2.474883556365967,-0.19549384713172913
finetune,posterior,5.089824676513672,-0.16414961218833923
finetune,posterior,5.837675094604492,-0.14797687530517578
finetune,posterior,1.4090436697006226,-0.1822027713060379
finetune,posterior,-5.463439464569092,-0.2091582715511322
finetune,posterior,5.122774600982666,-0.16456292569637299
finetune,posterior,6.1636061668396,-0.15118835866451263
finetune,posterior,9.035008430480957,-0.13997824490070343
finetune,posterior,9.04677677154541,-0.14529867470264435
finetune,posterior,-0.6229022741317749,-0.18736149370670319
finetune,posterior,1.0048608779907227,-0.16950584948062897
finetune,posterior,9.232963562011719,-0.13366642594337463
finetune,posterior,-3.947824478149414,-0.2021932750940323
finetune,posterior,4.776055335998535,-0.1671546846628189
finetune,posterior,-12.95822811126709,-0.2432614415884018
finetune,posterior,9.3131742477417,-0.1322730928659439
finetune,posterior,0.5468759536743164,-0.1626381129026413
finetune,posterior,1.4859321117401123,-0.18202073872089386
finetune,posterior,5.68211555480957,-0.14250096678733826
finetune,posterior,-12.95822811126709,-0.2432614415884018
finetune,posterior,4.797561168670654,-0.15834374725818634
finetune,posterior,1.2097352743148804,-0.18758732080459595
finetune,posterior,1.5324757099151611,-0.1802687644958496
finetune,posterior,-6.510956764221191,-0.21453365683555603
finetune,posterior,-0.6401949524879456,-0.1874241977930069
finetune,posterior,-0.6401949524879456,-0.1874241977930069
finetune,posterior,-2.3897905349731445,-0.17887449264526367
finetune,posterior,-2.3897905349731445,-0.17887449264526367
finetune,posterior,-1.7420032024383545,-0.19032210111618042
finetune,posterior,-14.074365615844727,-0.24839217960834503
finetune,posterior,2.605593681335449,-0.16077232360839844
finetune,posterior,-12.95822811126709,-0.2432614415884018
finetune,posterior,-12.631280899047852,-0.24166013300418854
finetune,posterior,-2.5892868041992188,-0.1959923803806305
finetune,posterior,-2.407771110534668,-0.17922663688659668
finetune,posterior,-12.526034355163574,-0.24115748703479767
finetune,posterior,1.0325146913528442,-0.1900625079870224
finetune,posterior,9.181421279907227,-0.13713568449020386
finetune,posterior,0.7276656627655029,-0.17642071843147278
finetune,posterior,9.84735107421875,-0.13731466233730316
finetune,posterior,8.655034065246582,-0.13923166692256927
finetune,posterior,-0.327597439289093,-0.18618188798427582
finetune,posterior,-2.527456760406494,-0.19576437771320343
finetune,posterior,-8.768279075622559,-0.22461842000484467
finetune,posterior,-5.75970458984375,-0.20995819568634033
finetune,posterior,-5.688530445098877,-0.20970386266708374
finetune,posterior,9.497828483581543,-0.13405627012252808
finetune,posterior,9.845437049865723,-0.1393580287694931
finetune,posterior,0.9808012247085571,-0.17152142524719238
finetune,posterior,1.429299235343933,-0.18230773508548737
finetune,posterior,1.0322754383087158,-0.17348045110702515
finetune,posterior,-2.5081305503845215,-0.1954323947429657
finetune,posterior,-4.123445987701416,-0.20293861627578735
finetune,posterior,0.9177749156951904,-0.1727173775434494
finetune,posterior,16.023418426513672,-0.14400368928909302
finetune,posterior,1.1336791515350342,-0.1697494238615036
finetune,posterior,1.045913577079773,-0.16753944754600525
finetune,posterior,16.123510360717773,-0.13184130191802979
finetune,posterior,10.163415908813477,-0.14170636236667633
finetune,posterior,-1.5939244031906128,-0.1918725222349167
finetune,posterior,10.546192169189453,-0.1319723278284073
finetune,posterior,0.2871299982070923,-0.17254671454429626
finetune,posterior,-1.5939244031906128,-0.1918725222349167
finetune,posterior,8.063546180725098,-0.14024053514003754
finetune,posterior,-1.718335509300232,-0.19257035851478577
finetune,posterior,8.1033353805542,-0.13985705375671387
finetune,posterior,16.972122192382812,-0.1285533308982849
finetune,posterior,16.972122192382812,-0.1285533308982849
finetune,posterior,8.1033353805542,-0.13985705375671387
finetune,posterior,-0.40909165143966675,-0.1865864396095276
finetune,posterior,8.09277629852295,-0.14020654559135437
finetune,posterior,-2.4626564979553223,-0.19520144164562225
finetune,posterior,16.57209014892578,-0.13107703626155853
finetune,posterior,-0.40909165143966675,-0.1865864396095276
finetune,posterior,-6.6411895751953125,-0.21992316842079163
finetune,posterior,1.3318229913711548,-0.18300358951091766
finetune,posterior,0.8130979537963867,-0.17027577757835388
finetune,posterior,8.413206100463867,-0.142591193318367
finetune,posterior,1.4415385723114014,-0.18314892053604126
finetune,posterior,1.2192063331604004,-0.1845226138830185
finetune,posterior,4.997673034667969,-0.16160888969898224
finetune,posterior,-2.6579861640930176,-0.19635270535945892
finetune,posterior,16.123510360717773,-0.13184130191802979
finetune,posterior,-0.4667539596557617,-0.1867954581975937
finetune,posterior,-3.6369476318359375,-0.2009568065404892
finetune,posterior,-13.619991302490234,-0.24618156254291534
finetune,posterior,4.806443214416504,-0.1583934724330902
finetune,posterior,1.3539390563964844,-0.18485236167907715
finetune,posterior,4.713264465332031,-0.16369549930095673
finetune,posterior,1.1489009857177734,-0.18849465250968933
finetune,posterior,1.5026074647903442,-0.17704422771930695
finetune,posterior,1.4489614963531494,-0.180443674325943
finetune,posterior,-0.5561233758926392,-0.18711940944194794
finetune,posterior,-1.483989953994751,-0.19174829125404358
finetune,posterior,-3.704502582550049,-0.20100881159305573
finetune,posterior,0.677966833114624,-0.15665388107299805
finetune,posterior,-4.054058074951172,-0.20247882604599
finetune,posterior,-2.525298595428467,-0.1955309808254242
finetune,posterior,3.0885109901428223,-0.15596920251846313
finetune,posterior,-0.3517405390739441,-0.1863785684108734
finetune,posterior,-5.743813514709473,-0.21012599766254425
finetune,posterior,-4.142733573913574,-0.2030898928642273
finetune,posterior,3.190553665161133,-0.15379387140274048
finetune,posterior,-7.76124906539917,-0.22033269703388214
finetune,posterior,-3.9532809257507324,-0.20210903882980347
finetune,posterior,-1.7085936069488525,-0.19246722757816315
finetune,posterior,1.3647003173828125,-0.18138208985328674
finetune,posterior,2.67356538772583,-0.16182881593704224
finetune,posterior,16.80684471130371,-0.13160596787929535
finetune,posterior,0.10270145535469055,-0.17842471599578857
finetune,posterior,-4.050975799560547,-0.20307417213916779
finetune,posterior,3.1690521240234375,-0.15098655223846436
finetune,posterior,-7.251852989196777,-0.2177397608757019
finetune,posterior,-2.249995231628418,-0.19505073130130768
finetune,posterior,6.172667026519775,-0.14131787419319153
finetune,posterior,1.4208191633224487,-0.18511854112148285
finetune,posterior,-0.4191238284111023,-0.18662282824516296
finetune,posterior,5.448098182678223,-0.14405058324337006
finetune,posterior,-2.4034862518310547,-0.1950652152299881
finetune,posterior,-7.780494213104248,-0.22035732865333557
finetune,posterior,-8.241844177246094,-0.22240881621837616
finetune,posterior,-7.955931663513184,-0.22106079757213593
finetune,posterior,5.113838195800781,-0.14852182567119598
finetune,posterior,5.509867191314697,-0.14411668479442596
finetune,posterior,5.134983539581299,-0.1513552963733673
finetune,posterior,-1.5332400798797607,-0.18816769123077393
finetune,posterior,0.8711251020431519,-0.1768018901348114
finetune,posterior,-7.949129581451416,-0.2209986299276352
finetune,posterior,-8.087696075439453,-0.22168101370334625
finetune,posterior,-7.343062877655029,-0.21817848086357117
finetune,posterior,9.909117698669434,-0.14329630136489868
finetune,posterior,9.698833465576172,-0.13960783183574677
finetune,posterior,-13.974310874938965,-0.24785666167736053
finetune,posterior,-2.430884838104248,-0.19525796175003052
finetune,posterior,-2.3884949684143066,-0.19477218389511108
finetune,posterior,-3.9899520874023438,-0.2026318609714508
finetune,posterior,9.510749816894531,-0.14095966517925262
finetune,posterior,5.349587917327881,-0.14731450378894806
finetune,posterior,5.827267646789551,-0.14636513590812683
finetune,posterior,-11.727025032043457,-0.23763956129550934
finetune,posterior,-0.4415200352668762,-0.18670400977134705
finetune,posterior,-8.075761795043945,-0.22187785804271698
finetune,posterior,-2.656271457672119,-0.19614389538764954
finetune,posterior,0.09468987584114075,-0.17941908538341522
finetune,posterior,0.3408806324005127,-0.1726635843515396
finetune,posterior,0.381169855594635,-0.1710643768310547
finetune,posterior,9.35550308227539,-0.1476617008447647
finetune,posterior,-2.7855358123779297,-0.19798175990581512
finetune,posterior,0.3510897755622864,-0.16888085007667542
finetune,posterior,1.2574893236160278,-0.16391585767269135
finetune,posterior,9.557687759399414,-0.159959614276886
finetune,posterior,-7.944559574127197,-0.22105635702610016
finetune,posterior,0.9932438135147095,-0.16806451976299286
finetune,posterior,-8.456459999084473,-0.22310002148151398
finetune,posterior,4.75446081161499,-0.15201306343078613
finetune,posterior,5.550441741943359,-0.14540699124336243
finetune,posterior,5.320959091186523,-0.14820456504821777
